date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011/9/15,2734.552,2754.193,2728.905,2729.051,2733.108,3117192500,32507109143,3,0.001979,1,-0.148435,1
2011/9/16,2744.218,2755.889,2728.995,2733.987,2729.051,2755593200,29743911967,3,0.00175,1,0.18087,1
2011/9/19,2718.318,2718.318,2678.795,2679.27,2733.987,2909094100,29731416051,3,0.001847,1,-2.001364,1
2011/9/20,2675.043,2702.28,2664.1,2689.845,2679.27,2559868100,27274347411,3,0.001625,1,0.394695,1
2011/9/21,2691.701,2778.353,2677.349,2771.011,2689.845,5619417100,59146487177,3,0.003568,1,3.017498,1
2011/9/22,2745.146,2754.917,2684.94,2685.688,2771.011,4710266000,47793334084,3,0.002991,1,-3.079129,1
2011/9/23,2644.294,2681.227,2631.425,2669.478,2685.688,4259222400,45934334698,3,0.002704,1,-0.603568,1
2011/9/26,2645.245,2679.56,2603.108,2610.919,2669.478,3917512400,40495022542,3,0.002487,1,-2.193653,1
2011/9/27,2634.925,2652.56,2613.423,2637.879,2610.919,3502197400,37301310910,3,0.002223,1,1.032585,1
2011/9/28,2654.83,2660.099,2602.63,2610.59,2637.879,3416955500,36195919556,3,0.002169,1,-1.034498,1
2011/9/29,2593.559,2615.144,2577.286,2588.185,2610.59,3709359300,37708584378,3,0.002355,1,-0.858236,1
2011/9/30,2595.582,2607.566,2572.193,2581.351,2588.185,3205082200,32376678343,3,0.002035,1,-0.264045,1
2011/10/10,2588.349,2595.324,2552.284,2557.082,2581.351,2832512200,28149902145,3,0.001798,1,-0.940168,1
2011/10/11,2625.163,2635.694,2526.649,2551.994,2557.082,4502984800,47409892228,3,0.002859,1,-0.198982,1
2011/10/12,2537.398,2647.015,2523.344,2644.758,2551.994,6594568000,62822831798,3,0.004186,1,3.634968,1
2011/10/13,2636.863,2672.91,2629.405,2662.601,2644.758,6042620100,56631043777,3,0.00383,1,0.674656,1
2011/10/14,2655.358,2665.443,2629.879,2653.782,2662.601,3833694800,37326709609,3,0.00243,1,-0.331221,1
2011/10/17,2658.947,2687.102,2653.384,2666.951,2653.782,3615831500,38101620397,3,0.002292,1,0.496233,1
